,Date,Content
69,2022-04-06 10:16:20+00:00, bakalan mampir kalo sempet nanti mitii  looking forwarto it   
70,2022-04-06 10:16:04+00:00, suapin nya virtual yah 
71,2022-04-06 08:57:31+00:00, andi jadi cowk tulen dong 
72,2022-04-06 04:53:14+00:00, yookkk kita doakan nmythia   hehehehaminnn 
73,2022-04-06 03:36:14+00:00, bang sy tergila gila   
74,2022-04-06 02:36:50+00:00, sejak kapan jadi abang njir 
75,2022-04-05 23:32:05+00:00, adek nya siapa tuh  boleh diculik gk 
76,2022-04-05 23:03:46+00:00, kapan nih bang andi keliatan udelnya     
77,2022-04-05 21:39:38+00:00, genderflui   daripada pusing gak usah dipikirin wkwkwk 
78,2022-04-05 21:35:16+00:00, dan juga saya bingung apher itu gender nya apa wkwkwkw 
79,2022-04-05 20:32:38+00:00, potret saat di gym 
80,2022-04-05 20:26:54+00:00,otsu miti  makasih udh nemenin saat sahur  jangan lupa jaga kesehatan ya mit  tadi juga ketawa bareng karena jokes   
81,2022-04-05 19:31:52+00:00,duluan ya tayangg  mangaat streamnyaaa huhuhuuu     a   mythialiv
82,2022-04-05 18:46:58+00:00,ketika miti di gundam seamp  seedestiny  tinggal menunggu versi keigo epel andi dan chlodan yg la   
83,2022-04-05 18:42:28+00:00, setau ku   mama  untuk sebagai desainer atau ilustrator dan  papa  untuk sebutan rigger l   
84,2022-04-05 18:31:06+00:00, wait  andi manggil mama a miti manggil papa a jadi mana yg bener 
85,2022-04-05 18:08:49+00:00, segan     
86,2022-04-05 17:51:14+00:00, aseekk  bisa ikut sebentar doang  
87,2022-04-05 17:45:39+00:00, sahur apa kita mitt   mau aku beliin    
88,2022-04-05 17:40:18+00:00, yoo walaupun saya gapuasa tetep nonton aja lah semangat gaes yang puasa     
89,2022-04-05 17:40:16+00:00, sahur bareng ikujoooo 
90,2022-04-05 16:20:22+00:00, gini amat ngontrak di bumi 
91,2022-04-05 15:54:22+00:00, beren banget   
92,2022-04-05 15:10:35+00:00, sama sama ketegang  tapi andi blom udel gang    
93,2022-04-05 14:56:15+00:00, hemm gundam seeya    nstory ny drama percintaan ribet berkedok mecha beda sama seri gundam yg lain  v 
94,2022-04-05 14:35:07+00:00, sainganmu banyak mit              
95,2022-04-05 14:31:00+00:00, sainganmu nambah  mit  
96,2022-04-05 14:24:30+00:00, freetalk breng andi gass gk sih 
97,2022-04-05 14:08:00+00:00, akur bgt siii    betumbuk lah lt  
98,2022-04-05 13:57:44+00:00, makasih ueueee    a    a 
99,2022-04-05 13:54:08+00:00, ntaps  sebelahan 
100,2022-04-05 13:44:04+00:00, abang ya mit yaa    abang loh  ga boleh naksir awokwik 
101,2022-04-05 13:41:48+00:00, kaktus  kakak adik tanpa status  hiyahiyahiya     maaaku becanda jgn dihiraukan    
102,2022-04-05 13:29:27+00:00,  abang  
103,2022-04-05 13:04:53+00:00, bang ryan ketika melihat ini  selamat ya buat para vtuber termasuk kamu ya miti n ndalam hatinya  aduuu   
104,2022-04-05 12:56:21+00:00, yah jdinya gk            donk heheh      
105,2022-04-05 12:53:56+00:00, andi adalah cowok cantik   
106,2022-04-05 12:52:56+00:00, kalian berdua  cakep bet awawawa huwee
107,2022-04-05 12:45:46+00:00, andi punya  adik nih ceritanya  
108,2022-04-05 12:38:18+00:00, mantap  jadi kayak adek kakak yg mau liburan musim panas 
109,2022-04-05 12:22:42+00:00, uhuyy  akhirnya pny abang berkat papa a              
110,2022-04-05 12:16:17+00:00, ganbarrmiti  jangan sampsakit karena streaming kamu padat     a    a           
111,2022-04-05 12:16:11+00:00, abang atau ayang nih mit aduuhh 
112,2022-04-05 12:13:32+00:00, kakak adik yang menggemaskan        
113,2022-04-05 12:13:05+00:00, nono masih inconsistent banget ini      
114,2022-04-05 12:10:41+00:00, hadiahnya apa mit   ciaaaakhh sama sama punya outfit baru wkwkwkwkwkk                nhadiahnya apa mit   ciuman   
115,2022-04-05 12:09:37+00:00, huwahh   ku beneran baru tau 
116,2022-04-05 12:09:26+00:00, wah punya abang  ganteng pula  mantap mitimitimitimiii 
117,2022-04-05 12:09:06+00:00, hadiah buat andi apa mit   napa jangan   jangan di kasih kecupan manis   
118,2022-04-05 12:08:56+00:00, sitampan dan sicantik       
119,2022-04-05 12:07:57+00:00, sekarang jadi abang atau adeknya kakak miti  
120,2022-04-05 12:06:47+00:00, mana p apestrimnya  wwant team keimiri or team migoyo in action again with fun acts antalks          
121,2022-04-05 10:45:13+00:00, bukber bareng pacar  hmmm     a 
122,2022-04-05 10:44:06+00:00, bukber oplen langsung otw nih wkwkwk 
123,2022-04-05 10:34:47+00:00, bukber bareng ayang    a       
124,2022-04-05 10:32:54+00:00, apa yaa    
125,2022-04-05 10:18:24+00:00, saatnya begadang 
126,2022-04-05 10:18:00+00:00, bukber sm temen cuma wacana nmending bukber sm mitii  nawokawokawokawok 
127,2022-04-05 10:06:37+00:00, waduh kakak menjadi salah satu haremnya 
128,2022-04-05 10:02:19+00:00, kok sahur talk  aku kelewatan ya  
129,2022-04-05 10:00:44+00:00, sahur dan buka ditemani yang mulia  let s go    
130,2022-04-05 09:59:36+00:00, makasih jadwalnya miti asik sahur dan bukber    
131,2022-04-05 09:57:13+00:00, bukber bareng pacar gmnceritanya mit  
132,2022-04-05 09:55:25+00:00, oh no masuk jam  mlm    
133,2022-04-05 09:53:35+00:00, kelemot an moberawal dr oshi    canda mit loon     
134,2022-04-05 09:51:18+00:00, wuihh asikkk  aku ga ikut puasa sbnrnya but  yes why not semoga bs bangun sih ww n nditunggu yaa  
135,2022-04-05 09:51:03+00:00, ga sendiri dong kan ada kita yang nemanin nantii   
136,2022-04-05 09:49:23+00:00, wait what  maksudnya afah yah mit bukber dengan pacar    
137,2022-04-05 09:49:00+00:00, anda pacaran sma diri sndiri   
138,2022-04-05 09:44:52+00:00, ga pedulij 
139,2022-04-05 09:44:04+00:00, aaaa bukber bareng ayang        
140,2022-04-05 09:44:03+00:00, makasih schedulnya mitii  bakal asik nih sahur ama ngabuburit nya nanti 
141,2022-04-05 09:43:42+00:00, pacar siapa tuuhh 
142,2022-04-05 09:43:05+00:00, uwogh bukber gatuh 
143,2022-04-05 07:41:01+00:00, sheeeeesshhh           reflek dan skill gua pas liat video ini langsung stonks beneran wkwkwkwkwkk 
144,2022-04-05 01:47:46+00:00, pagi sayangku   nditunggu schedulnyaaa  
145,2022-04-05 00:29:36+00:00, mit coba cek ini 
146,2022-04-05 00:08:35+00:00, pagi mythiii            
147,2022-04-05 00:00:01+00:00, ohaaaaamitiiiwwwww  hava nicday sweeti n nazekk  ditunggu ya cantik  
148,2022-04-04 22:31:01+00:00,tadi pas ngestream nunggu saur lupa run as administrator di obs jadi patah patah dan burik streamnya        n nmotongnya   
149,2022-04-04 17:49:18+00:00, ada opsi timout dipak
150,2022-04-04 17:10:00+00:00, wih ada yutuber ygy 
151,2022-04-04 17:05:54+00:00, chat livnya kenapa bang 
152,2022-04-04 13:01:32+00:00, istirahat miti jangan dipaksa semangat terus emang bocil   tokurang ajar kalo chat ga mikir   dulu   
153,2022-04-04 11:54:02+00:00, kalau butuh break gpp  
154,2022-04-04 11:26:19+00:00, kau kenapa mit   ada yang bisa jelasin  
155,2022-04-04 11:22:50+00:00, kalo boleh tau masalahnya apa ya  
156,2022-04-04 11:17:05+00:00, aku hanya bisa bilang n terbiasalah didunia ini memang harus ada yang bisa beradaptasi dalam bentuk apapun  
157,2022-04-04 09:17:00+00:00, yg sabar mitimi     
158,2022-04-04 08:11:52+00:00, aku tau  dan selasa aku harus ujian ukk  sial   
159,2022-04-04 08:05:38+00:00, biasalah 
160,2022-04-04 07:13:56+00:00, tbh aku udh jarang mampir jadi gatau separah apa  cuma sblm aku jarang mampir udh cukup annoying eman   
161,2022-04-04 04:48:26+00:00, wuw ngeri ngeri sedep 
162,2022-04-04 04:10:46+00:00, hmm    toctivity kahh   untuk dititik ini aku cmn bisa saranin stream di twitch  aku gk tau konteks   
163,2022-04-04 04:05:30+00:00, om    mau tanya cara updatminecraft nya bgmn  
164,2022-04-04 03:48:13+00:00, emangnya kenapa gitu chatnya   sorry banget soalnya blm sempet nonton        
165,2022-04-04 02:06:44+00:00, parah kah mit  aku minta maaya kalo ga sempat jagain streamnya nmaabanget gabisa dateng karena ket   
166,2022-04-04 01:43:49+00:00, lah parah banget berarti isi chatnya 
167,2022-04-04 01:34:38+00:00, semoga kedepannya chat bs lebih konsusilagi   aku cmn bs berharap dan support kamu   gabisa ngapa in selain itu 
168,2022-04-04 01:33:50+00:00,   parah banget kah   aku minta maaya   kamu udh ngerasain gini brp kali      n nanak cantik ga pantes   
169,2022-04-04 01:02:19+00:00,lohh   apa ini miti    
170,2022-04-04 00:35:16+00:00, ganba sayang 
171,2022-04-04 00:30:51+00:00, mungkin kalau mau kasi saran  mau stream having fun mending di twitch karna di twitch yang nonton l 
172,2022-04-04 00:25:01+00:00, pengen heran cuma yang komen dari wakanda 
173,2022-04-04 00:20:33+00:00, semangat myth  yah ini emang resiko jadi vtuber yang melokal sih bocil tobiadabnya ga terhitung   
174,2022-04-03 23:49:48+00:00, tolong ya  yang komen  kalo punya otak tuh di pak             
175,2022-04-03 23:27:20+00:00, bawa ktempat cambuk sekalian 
176,2022-04-03 23:01:58+00:00,  hug virtual for you  miti n ni m so sorry miti  jujur jam segitu udh tepar mulu aku dan maakrn gak j   
177,2022-04-03 22:44:12+00:00, teh ayo buka puasa bareng  
178,2022-04-03 22:06:30+00:00,otsukarthank you for thstream  maacuma mampir bentar walaupun cu   
179,2022-04-03 21:55:57+00:00, remember  just having fun  dont carabout thchat  especially indonesia netizen  aku dh debatin jug   
180,2022-04-03 21:44:48+00:00, gam ngikut stream miti dah mending turu semoga hari besok jadi lebih baik 
181,2022-04-03 21:42:49+00:00, im so sorry mit  i was fall asleep    a nansemangat terus mit  orang orang yang kaya gitu semoga gaada l   
182,2022-04-03 21:29:03+00:00, mitiiiiaw      sini aku bonk chatnya  gt  o 
183,2022-04-03 21:27:09+00:00, saya ga nonton stream terakhirnya  tolong konteksnya dong temen 
184,2022-04-03 21:18:03+00:00, jngn peduliin topeoplmit msh banyak orang yg carsma km 
185,2022-04-03 21:15:39+00:00, semangat kak miti 
186,2022-04-03 21:03:44+00:00, otsuuu mit   jaga kesehatan dan met istirahat   
187,2022-04-03 20:54:19+00:00, sahur dulu br    
188,2022-04-03 20:49:28+00:00, otsumiti  gapapa mitt istirahat lebih di utamakan  tetap jaga kesehatan miti  you havto bstrong from all this    a    
189,2022-04-03 20:45:47+00:00, istirahat aja sayangku   jngan dipaksain   udh capek fisik irl   ttep stream buat nyapa orang     kl   
190,2022-04-03 20:32:13+00:00, sayangnya aku gak bisa ikutan nonton but pleastakcaroyoursel otsu  
191,2022-04-03 20:30:32+00:00, otsumiti  meet bobo ya  gak usah dengerin apa kata mereka  tinggal dm nama namanya biar aku santet satu satu 
192,2022-04-03 20:01:57+00:00, otsukarmitiiii  istirahat mata kamu main apesambil baca chat emang bikin pusing  dan juga belum l   
193,2022-04-03 19:51:25+00:00, selamat istirahat ka mit 
194,2022-04-03 19:40:28+00:00, otsu mitii nsabar mit emang kayak gitu kalok sudah terkenal 
195,2022-04-03 19:25:14+00:00, otsuu mitii  nudh mit istirahat akebiasaan emng chat begitu    
196,2022-04-03 19:19:29+00:00, taka rest  miti  jangan peduliin mereka nmet istirahatt  otsumiti    
197,2022-04-03 19:16:21+00:00, catet namanya nanti satu satu saya pukulin 
198,2022-04-03 18:35:47+00:00, gua belum tidur karena nungguin balapan        
199,2022-04-03 18:04:34+00:00, gasskeun nonton  pov wkwkwkwkwkk 
200,2022-04-03 17:59:50+00:00, finonton  pov    
201,2022-04-03 17:47:29+00:00, pagi pagi apesamplumpuh 
202,2022-04-03 17:43:24+00:00, semoga sukses stremnya mit 
203,2022-04-03 17:26:39+00:00, ikzzz apesampai sahur 
204,2022-04-03 17:21:32+00:00,siapa yang belom tidur nungguin saur    n napeletsgoo     n njam   start nwith  amp           
205,2022-04-03 15:57:13+00:00, jangan kasar yah     a 
206,2022-04-03 15:18:45+00:00, sekalinya sakit  bulan kemudian 
207,2022-04-03 14:04:50+00:00, kak miti ngimana tadi pertama kali puasa nlancar kah  
208,2022-04-03 13:15:11+00:00, kamu diem atau aku hamilin 
209,2022-04-03 12:58:50+00:00, bagus bangat skinya saya sudah coba dan warna kulitnya pas 
210,2022-04-03 12:57:26+00:00,  yang mau dihamilin chat aja  
211,2022-04-03 12:47:03+00:00, kamu baik sekali  aku kasi bintang  
212,2022-04-03 12:43:00+00:00, ganba kaliannn   
213,2022-04-03 12:19:48+00:00,     a    a n ncampur aduk bgt rsny begtw mau reaksi gmn 
214,2022-04-03 12:17:18+00:00, kamu kan jantan  
215,2022-04-03 12:04:32+00:00, mau nyuci piring  
216,2022-04-03 11:28:16+00:00, biasalaaa  kelakuan random peeps    
217,2022-04-03 10:55:46+00:00, miti kan memang cakep hueheheheh
218,2022-04-03 10:45:09+00:00, bajak laut 
219,2022-04-03 10:43:41+00:00, uwu uwu ilopyu 
220,2022-04-03 10:30:32+00:00, imut parah          
221,2022-04-03 09:31:31+00:00, asik dimasakin miti uwu 
222,2022-04-03 09:27:33+00:00, bolmit   biar ada yang masakin saur   
223,2022-04-03 09:25:39+00:00, maitapi nyuruh nyuruh tuannya ya mit  
224,2022-04-03 09:18:16+00:00, sur  ntapi yaa   mendingan tetep jadi pacar kamu ga sieh       
225,2022-04-03 09:14:56+00:00, wahhh bisa di suruh suruh nihh heheheheh       
226,2022-04-02 22:01:42+00:00, googambang ari  semangat puasanya        
227,2022-04-02 20:34:51+00:00, otsuuuuuu maalemes banget aku wwwww 
228,2022-04-02 16:53:37+00:00, mit jangan lupa istirahat       plis jan ngikutin yang apesamplumpuh        
229,2022-04-02 16:52:32+00:00, mit  istirahatnya sdh cukupkah  klu blum cukup  istirahat anperbanyak glug glug somwater yaa    a    
230,2022-04-02 16:49:56+00:00, begadang lagi mit       
231,2022-04-02 16:47:04+00:00, otsuuu   gpp mit ngobrol nya kan bisa lewat hati 
232,2022-04-02 16:28:21+00:00, kayaknya streamnya kepotong  but otsu  
233,2022-04-02 16:27:57+00:00, otsuu miti     nthank you for thstream      njangan lupa istirahat     
234,2022-04-02 16:24:53+00:00, setelah sekian lama sasaki menahan diri       
235,2022-04-02 16:22:04+00:00, pengen lebih deket daan doi 
236,2022-04-02 15:55:33+00:00, wibuuu 
237,2022-04-02 15:53:01+00:00, mau juga kah        
238,2022-04-02 15:47:41+00:00,  punya cew
239,2022-04-02 15:29:14+00:00, ih udh berani ya sasaki san    
240,2022-04-02 14:54:56+00:00, mir dan composernya siapa  
241,2022-04-02 14:54:15+00:00, mit kamu yang waktu kkarafuru pakbaju hitam kan 
242,2022-04-02 14:12:07+00:00,kalau ada apa  aku dihamilin 
243,2022-04-02 13:57:53+00:00, menggemaskan 
244,2022-04-02 13:22:20+00:00, ehh mampir si cantikk n nsini  peluk dulu  you digreat today 
245,2022-04-02 13:18:05+00:00, sasaki to miyano bl itu 
246,2022-04-02 13:17:16+00:00, azekkkk  gudlak kaliann  
247,2022-04-02 13:15:17+00:00, lesgoooo  semoga zona mendukung kalian       
248,2022-04-02 13:03:53+00:00, menghalu sih ini fi   
249,2022-04-02 12:59:35+00:00, miti makasih banyak                    
250,2022-04-02 12:30:19+00:00, pewn npengen mengendarai bem w
251,2022-04-02 12:17:57+00:00, blik n bilangnya belom m  m gr   gk diingetin sarapan  padahal jempolnya masih bau pecel sambel tera   
252,2022-04-02 11:28:59+00:00, akwkkakwkak stadium  
253,2022-04-02 11:16:27+00:00, teriakkkk 
254,2022-04-02 11:15:27+00:00, pasti sedang modmenghalu stadium  
255,2022-04-02 11:12:44+00:00, pengen gaw
256,2022-04-02 10:41:01+00:00, kartun apa itu  di tv ada gak  
257,2022-04-02 10:37:40+00:00, sumpah teriak bgt aaaaa 
258,2022-04-02 10:34:17+00:00, indomirasa baru mit  kamu pasti suka sama miini sambil ngehalu wkwkwkwkwkk 
259,2022-04-02 10:30:21+00:00, agshshshs belum dilanjut nonton          
260,2022-04-02 10:30:16+00:00, sasaki   mmhh bau sabun 
261,2022-04-02 10:28:02+00:00, ngehalu kah mit    
262,2022-04-02 10:28:02+00:00, cuman kartun dek 
263,2022-04-02 10:20:14+00:00,mit pasti kamu suka mit 
264,2022-04-02 10:20:00+00:00, udah tua emang 
265,2022-04-02 09:27:37+00:00, banger 
266,2022-04-02 08:58:44+00:00, pengen puasa    
267,2022-04-02 07:56:12+00:00, omagah mittttt bagus banget ey    kualitasnya udah kayak yang aslinya 
268,2022-04-02 07:45:32+00:00, nasi padang  
269,2022-04-02 07:08:59+00:00, pengen mckah  
270,2022-04-02 06:28:36+00:00, jadi opening keren nih 
271,2022-04-02 05:24:26+00:00, ngegam   
272,2022-04-02 05:24:18+00:00, udin petot  udara dingin pengen ng  
273,2022-04-02 04:39:01+00:00, gila  suaramu selalu bikin takju
274,2022-04-02 04:36:18+00:00, pengen apa  nanti ku beliin deh  kalo ada duit  
275,2022-04-02 04:14:08+00:00, pengen duwek selaw
276,2022-04-02 03:44:20+00:00, wedang 
277,2022-04-02 02:50:04+00:00, ew  ncew
278,2022-04-02 02:37:38+00:00, sama mit  di jogja ada satu deoan hotel tentrem  katanya wenak banget   
279,2022-04-02 02:36:29+00:00, pengen apa hayo n ngw kah  natau ng  n nopnot saying it     
280,2022-04-02 02:33:29+00:00, cewbiar gak alonlagi  
281,2022-04-02 02:24:38+00:00, anjaayyyyyyy aakku bohong  miti yg bohongg 
282,2022-04-02 02:11:50+00:00,gak sempet ikutan kompetisi   karena sama sama lagi sibuk kemarin  tapi tetep pengen ikut ngeramein    
283,2022-04-02 02:08:36+00:00, wedang jah
284,2022-04-02 02:08:22+00:00, nih gw bales aowkoqkww 
285,2022-04-02 01:45:53+00:00, bisa awkwk 
286,2022-04-02 01:35:09+00:00, aku benci fikiranku 
287,2022-04-02 00:40:22+00:00, pagiku disambut suara merdu miti        ily mit    
288,2022-04-02 00:22:16+00:00, bagus bgt suaranya         
289,2022-04-01 23:49:56+00:00, sama indahnya kamu juga kok  
290,2022-04-01 23:29:18+00:00, baguuuss banget waaaaaahhh        naku aja nggak bisa sampsegitu            
291,2022-04-01 21:49:17+00:00, bro indah banget g ngerti    a    
292,2022-04-01 21:48:46+00:00, suarany emg gada obat     
293,2022-04-01 21:48:02+00:00, indah banget ga paham lagi        a 
294,2022-04-01 19:11:23+00:00, bruh bagus banget   
295,2022-04-01 18:31:16+00:00, pengen cakwmalem malem mit   ga ada yang buka          
296,2022-04-01 18:29:15+00:00, gaw   n nbiar dapet duit heh
297,2022-04-01 18:28:46+00:00, enak tuh 
298,2022-04-01 18:27:55+00:00, gawbiar dapet duit 
299,2022-04-01 16:02:16+00:00, dan mereka pun bahagia di jerman wkwkwk         
300,2022-04-01 14:13:34+00:00, waduh kak miti 
301,2022-04-01 14:07:52+00:00, ama nehabis menipu langsung memberi kejutan     rencana yang hebat  memelbuat orang mara   
302,2022-04-01 13:57:13+00:00,otsumayaaa otsumitiiii     tips nyanyi dari ka miti guys          nbuat yang belum nonton original song   
303,2022-04-01 13:32:30+00:00, astagfirullah mau ramadhan        tydack ramah 
304,2022-04-01 13:07:11+00:00, sejam loh mit 
305,2022-04-01 13:06:26+00:00, parah ngeprank   
306,2022-04-01 12:55:22+00:00, capkena trap    
307,2022-04-01 12:54:47+00:00, untung sayang           
308,2022-04-01 12:48:36+00:00, hari ini aku banyak kena trap    
309,2022-04-01 12:38:58+00:00, bentar gmna  
310,2022-04-01 12:36:26+00:00, anjayyy  miti bohong  april yang bohong 
311,2022-04-01 12:34:15+00:00, kwkwkw kiw mit 
312,2022-04-01 12:31:50+00:00,kena prank 
313,2022-04-01 12:30:23+00:00, gg kamu mit wkwkwkwkwkk 
314,2022-04-01 12:23:29+00:00, anjay miti bohong youtubyang bohong 
315,2022-04-01 12:20:45+00:00, kamu bohong 
316,2022-04-01 12:19:54+00:00, pengen pukul untung sayang     
317,2022-04-01 12:17:38+00:00, mit ku kira kau kenapa ternyata prank sedihnya   
318,2022-04-01 12:17:18+00:00, untung kanjeng ygy          
319,2022-04-01 12:16:57+00:00, yah gitu deh 
320,2022-04-01 12:15:57+00:00, ya gimana yah mit   nkocak sih akwoakwoqkqoak 
321,2022-04-01 12:12:44+00:00, hmm wakatta 
322,2022-04-01 12:09:01+00:00, selamat anda kena prank       hadeuuh         
323,2022-04-01 12:06:51+00:00, amplupa kan nais  
324,2022-04-01 12:05:05+00:00, damn  gws          
325,2022-04-01 12:04:58+00:00, cukup menteri agama yang ngeselin kamu jangan ya    
326,2022-04-01 12:04:39+00:00, terprank  k orang   
327,2022-04-01 12:04:32+00:00, tiba tiba keluar rickroll lucu juga 
328,2022-04-01 12:04:27+00:00, ya gitu dah denger backsoundoang 
329,2022-04-01 12:04:26+00:00,kegabutan untuk  april  ini adalah loading screen selama  menit  nggak sekalian  jam samps   
330,2022-04-01 12:02:38+00:00,mit gelut yok mnt dengerin bgm doang     mythialivmythiabatfor
331,2022-04-01 12:02:34+00:00, wah parah sih lu mit 
332,2022-04-01 12:02:33+00:00, apa motifmu  hmmm 
333,2022-04-01 11:59:48+00:00, oh begitu ternyata 
334,2022-04-01 11:59:45+00:00, aowksiemeismwk 
335,2022-04-01 11:59:31+00:00, no don t eosemwkwkwkw 
336,2022-04-01 11:59:25+00:00, wkwkwkwkk    
337,2022-04-01 11:59:21+00:00, yaa gimana ya  gimana kak  
338,2022-04-01 11:59:16+00:00, owh gitu mit 
339,2022-04-01 11:58:59+00:00, ya gitu 
340,2022-04-01 11:58:21+00:00, kenapa kak miti 
341,2022-04-01 11:57:39+00:00, wkwkwk naisu mit 
342,2022-04-01 11:42:51+00:00, k subscribers sabi sih soalnya itu nomor favorit gua 
343,2022-04-01 09:02:24+00:00, nek  mv cover lagu cukup ini punya nenek terbanyak viewsnya nek        
344,2022-04-01 08:37:56+00:00, wah kira kira bakal bahas apa yaaaa    
